encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,0,0,3,3.13
0,1,0,0,0,0,3,0.22
0,0,0,0,0,0,1,0.3
0,0,0,0,0,0,2,0.27
0,0,0,0,0,0,3,0.22
0,0,0,0,0,0,4,0.21
0,0,0,0,0,0,5,1.14
0,0,1,0,0,0,5,1.11
0,0,0,1,0,0,1,0.26
0,0,0,0,1,0,1,1.12
0,0,0,0,0,1,3,0.22
0,1,1,1,1,0,4,0.28
1,0,1,1,1,0,5,4.03
1,1,1,1,1,0,4,3.2
1,1,1,1,1,0,5,4.03
1,1,1,1,1,0,1,3.19
1,1,1,1,1,0,2,3.13
1,1,1,1,1,0,3,3.15
1,1,0,1,1,0,1,3.21
1,1,1,0,1,0,1,3.22
1,1,1,1,0,0,2,3.2
1,1,0,1,1,0,2,3.13
1,1,0,0,0,0,1,3.21
1,0,0,0,0,0,1,3.21
1,0,0,0,0,0,2,3.21
1,0,0,0,0,0,4,3.15
1,0,0,0,0,0,5,4.03
1,0,1,0,0,0,2,3.13
1,0,0,1,0,0,2,3.13
1,0,0,0,1,0,2,3.13
1,0,0,0,0,1,3,3.14
0,1,0,0,0,0,1,0.28
0,1,0,0,0,0,2,0.26
0,1,0,0,0,0,4,0.21
0,1,0,0,0,0,5,1.13
0,1,1,0,0,0,2,0.21
0,1,0,1,0,0,2,0.28
0,1,0,0,1,0,3,0.27
0,1,0,0,0,1,3,0.21
0,0,1,0,0,0,1,0.29
0,0,1,0,0,0,2,0.3
0,0,0,1,0,0,2,0.27
0,0,0,0,1,0,2,0.27
0,0,1,0,0,0,3,0.28
0,0,0,1,0,0,3,0.21
0,0,0,0,1,0,3,0.2
0,0,1,0,0,0,4,0.21
0,0,0,1,0,0,4,0.21
0,0,0,0,1,0,4,0.21
0,0,0,1,0,0,5,0.21
0,0,0,0,1,0,5,1.11
0,0,1,1,0,0,2,0.21
0,0,1,0,1,0,1,0.28
0,0,1,0,0,1,3,0.21
0,0,0,1,1,1,3,0.26
0,0,0,1,0,1,3,0.2
0,0,0,0,1,1,3,0.22
0,0,1,1,1,0,5,1.11
0,1,1,1,1,0,5,1.11
0,1,1,1,1,0,3,0.21
0,1,1,1,1,0,1,0.27
0,1,1,1,1,0,2,0.2
0,1,1,1,1,1,3,0.21
0,1,0,1,1,0,4,0.28
0,1,1,0,1,0,4,0.27
0,1,1,1,0,1,3,0.2
1,0,1,1,1,0,3,3.18
1,0,1,1,1,0,2,3.14
1,0,1,1,1,1,3,3.15
1,0,1,1,1,0,4,3.19
1,0,0,1,1,1,3,3.15
1,0,1,0,1,0,5,3.2
1,0,1,1,0,0,2,3.15
1,0,1,1,1,0,1,3.2
1,1,0,1,1,0,3,3.19
1,1,1,0,1,0,4,3.15
1,1,1,1,0,0,5,3.15
1,1,1,1,0,0,4,4.04
1,1,1,1,1,1,3,3.14
1,1,1,1,0,0,1,3.15
1,1,0,1,1,1,3,3.13
1,1,1,1,0,0,3,3.14
1,1,0,1,1,0,4,3.13
1,1,1,0,1,0,5,0.25
1,1,1,0,0,0,1,4.03
1,1,1,0,1,0,2,3.21
1,1,1,0,1,0,3,3.13
1,1,0,1,1,0,5,3.13
1,1,1,0,1,1,3,3.19
1,1,1,1,0,1,3,4.01
1,1,0,1,0,0,3,4.04
1,1,0,0,1,0,1,0.21
0,1,1,0,1,0,3,3.13
1,1,0,1,0,0,1,0.27
0,1,1,1,0,0,4,3.2
1,1,0,0,1,0,5,3.22
1,1,0,1,0,0,2,3.19
1,1,0,1,0,0,5,3.2
1,1,1,0,0,0,2,3.2
1,1,1,0,0,0,3,3.13
1,0,1,1,0,0,4,3.13
1,1,0,0,0,0,2,0.21
1,1,0,0,0,0,3,0.2
1,1,0,0,0,0,4,0.2
1,1,0,0,0,0,5,0.21
1,1,1,0,0,0,5,0.26
1,1,0,0,0,1,3,0.22
1,0,1,0,0,0,1,3.14
1,0,0,1,0,0,1,0.21
1,0,0,0,1,0,1,0.21
1,0,1,0,0,0,3,3.15
1,0,0,1,0,0,3,0.21
1,0,0,0,1,0,3,3.15
1,0,1,0,0,0,4,3.13
1,0,0,1,0,0,4,3.13
1,0,0,0,1,0,4,3.14
1,0,1,0,0,0,5,0.2
1,0,0,1,0,0,5,0.21
1,0,0,0,1,0,5,0.21
1,0,1,0,1,0,2,0.2
1,0,1,0,0,1,3,3.12
1,0,0,1,1,0,2,0.2
1,0,0,1,0,1,3,0.21
1,0,0,0,1,1,3,3.15
0,1,1,0,0,0,1,0.2
0,1,0,1,0,0,1,4.03
0,1,0,0,1,0,1,4.03
0,1,0,0,1,0,2,1.1
0,1,1,0,0,0,3,3.15
0,1,0,1,0,0,3,0.28
0,1,1,0,0,0,4,3.19
0,1,0,1,0,0,4,0.27
0,1,0,0,1,0,4,3.21
0,1,1,0,0,0,5,3.2
0,1,0,1,0,0,5,1.11
0,1,0,0,1,0,5,0.21
0,1,1,0,1,0,2,0.26
0,1,1,0,0,1,3,3.2
0,1,0,1,0,1,3,0.19
0,1,0,0,1,1,3,4.03
0,0,1,1,0,0,1,3.14
0,0,0,1,1,0,1,3.15
0,0,1,0,1,0,2,4.03
0,0,0,1,1,0,2,3.16
0,0,1,1,0,0,3,3.15
0,0,1,0,1,0,3,3.13
0,0,0,1,1,0,3,3.14
0,0,1,1,0,0,4,3.13
0,0,1,0,1,0,4,0.21
0,0,0,1,1,0,4,0.2
0,0,1,1,0,0,5,3.13
0,0,1,0,1,0,5,3.15
0,0,0,1,1,0,5,4.03
0,0,1,1,1,0,1,0.21
0,0,1,1,0,1,3,0.22
0,0,1,0,1,1,3,3.13
0,0,1,1,1,0,4,0.22
0,0,1,1,1,0,2,0.21
0,0,1,1,1,0,3,3.15
0,1,0,1,1,0,5,3.15
0,1,1,0,1,0,5,3.21
0,1,1,1,0,0,5,3.2
0,1,0,1,1,1,3,0.28
0,0,1,1,1,1,3,0.28
0,1,0,1,1,0,1,3.2
0,1,1,1,0,0,1,3.2
0,1,1,0,1,0,1,0.27
0,1,0,1,1,0,2,0.29
0,1,1,1,0,0,2,4.04
0,1,1,0,1,1,3,3.2
0,1,0,1,1,0,3,1.11
0,1,1,1,0,0,3,4.04
1,0,1,1,0,0,5,1.11
1,0,0,1,1,0,5,3.15
1,0,0,1,1,0,4,4.03
1,0,0,1,1,0,1,1.11
1,0,1,0,1,0,4,1.12
1,0,0,1,1,0,3,4.04
1,0,1,1,0,0,1,1.11
1,0,1,0,1,0,1,3.18
1,0,1,0,1,0,3,1.12
1,0,1,1,0,0,3,0.28
1,0,1,0,1,1,3,1.12
1,0,1,1,0,1,3,0.27
1,1,0,0,1,0,3,0.21
1,1,0,0,1,0,2,3.15
1,1,0,1,0,1,3,0.22
1,1,1,0,0,0,4,0.22
1,1,0,1,0,0,4,0.27
1,1,0,0,1,0,4,3.19
1,1,0,0,1,1,3,3.21
