,lrzip_GBR,xz_GBR,z3_GBR,dconvert_GBR,batik_GBR,kanzi_GBR,x264_GBR,h2_GBR,jump3r_GBR
W1,0.037,0.017,0.643,0.079,0.162,0.35,0.052,0.079,0.037
W2,0.565,0.449,0.735,0.107,0.11,0.239,0.004,0.06,0.081
W3,0.063,0.04,0.753,0.051,0.077,0.081,0.004,0.033,0.074
W4,0.052,0.121,0.142,0.107,0.09,0.301,0.013,0.045,0.109
W5,0.131,0.116,0.542,0.146,0.176,0.331,0.02,0.061,0.101
W6,0.304,0.102,0.642,0.085,0.109,0.11,0.003,0.079,0.032
W7,0.079,0.338,0.606,0.408,0.217,0.226,0.034,0.054,N/A
W8,0.141,0.041,0.26,0.137,0.241,0.266,0.206,0.05,N/A
W9,0.073,0.021,0.375,0.066,0.078,0.17,0.005,N/A,N/A
W10,0.141,0.039,0.159,0.032,0.384,N/A,N/A,N/A,N/A
W11,0.12,0.03,0.359,0.036,0.179,N/A,N/A,N/A,N/A
W12,0.068,0.015,0.514,0.115,N/A,N/A,N/A,N/A,N/A
W13,0.126,0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Median,0.12,0.04,0.528,0.096,0.162,0.239,0.013,0.057,0.078
IQR,0.073,0.086,0.307,0.058,0.098,0.131,0.03,0.017,0.05